,Age
9,65.0
42,65.0
48,63.0
135,65.0
27,62.0
145,32.0
133,76.0
24,61.0
69,60.0
10,66.0
4,66.0
49,63.0
16,82.0
114,65.0
1,40.0
108,56.0
91,57.0
103,35.0
130,66.0
100,51.0
47,19.0
68,32.0
139,60.0
88,64.0
87,45.0
147,25.0
136,58.0
21,31.0
101,66.0
137,60.0
125,44.0
83,51.0
22,35.0
60,38.0
44,56.0
46,32.0
111,52.0
146,35.0
36,62.0
75,63.0
123,39.0
141,38.0
82,53.0
23,33.0
124,21.0
99,62.0
90,48.0
74,62.0
138,60.0
80,38.0
84,70.0
65,63.0
67,45.0
11,36.0
151,39.0
78,62.0
110,49.0
149,59.0
102,60.0
17,61.0
2,74.0
37,63.0
5,67.0
31,29.0
3,73.0
105,48.0
112,41.0
13,52.0
20,34.0
77,45.0
79,50.0
126,56.0
119,50.0
19,65.0
152,40.0
131,50.0
132,28.0
40,35.0
18,53.0
142,26.0
85,65.0
72,42.0
117,35.0
70,70.0
113,61.0
14,50.0
66,33.0
98,65.0
106,31.0
122,73.0
86,51.0
28,60.0
12,63.0
