,Age
128,70.0
191,56.0
202,60.0
135,57.0
34,60.0
192,36.0
127,51.0
200,65.0
133,55.0
146,60.0
119,63.0
121,45.0
11,37.0
214,59.0
131,45.0
190,44.0
18,61.0
2,74.0
48,51.0
5,67.0
44,63.0
3,73.0
13,63.0
28,61.0
130,51.0
132,64.0
27,33.0
217,40.0
51,56.0
26,35.0
150,31.0
125,30.0
124,38.0
203,60.0
14,48.0
120,30.0
176,20.0
196,50.0
152,56.0
41,66.0
12,36.0
0,66.94656485424245
1,50.784970203911975
2,47.805332459745784
3,58.333721931838966
4,54.409296372487745
5,64.97147031463012
6,39.78611240836563
7,35.810410856665165
8,47.42271655694906
9,32.67578336800357
10,57.51660975292366
11,35.0049386952502
12,66.00259754951365
13,41.46275438619335
14,27.832246228961182
15,54.57889119276841
16,48.55364141880357
17,44.72701396612247
18,43.8848668342314
19,38.405503718603946
20,32.07512168321803
21,45.71154683336191
22,54.26196194087792
23,40.82224346488417
24,53.40006030593038
25,52.321279243771755
26,36.20972301822779
27,37.70725248734326
28,53.82940479439128
29,49.09064790451238
30,33.10043592314629
31,49.47417934035074
32,47.91604270946504
33,31.990646168859865
34,56.22097310919349
35,36.05546818053498
36,49.96085483974761
37,48.860802026518826
38,46.791490973883164
39,42.98064227687381
40,47.571095456990086
41,29.784980006281412
42,53.01476235694492
43,31.383650462164468
44,46.837525217674234
45,47.75526129708251
46,73.23566459202178
47,25.30459332574443
48,30.903434229506388
49,53.181796192866884
50,32.717131399680994
51,15.671108823939619
52,53.154429171741384
53,68.63242805277216
54,42.09377374876775
55,34.90103833813905
56,32.362449840308344
57,56.740374370835816
58,37.75469068931839
59,41.876861814236634
60,54.00507723546373
61,28.820998064529718
62,46.14934280196662
63,58.831970903735424
64,31.91962607129741
65,62.781972076893226
66,46.89423609744095
67,29.503834850485443
68,24.915219779404747
69,39.074348168552625
70,51.639397048110744
71,36.184179995918115
72,46.11818954977951
73,31.491355208683256
74,30.685714008747517
75,51.92756335805834
76,62.12388119742887
77,57.007930027189744
78,58.96263716334092
79,37.722990782847894
80,26.935953120376894
81,38.532345482427836
82,53.18392519104913
83,65.12120861826126
84,35.69905042771458
85,61.29917288291247
86,40.543088155713335
87,54.730933960038485
88,39.549988445144145
89,57.08300562264628
90,46.49725986622682
91,37.354303262740906
92,56.26370945110952
93,50.930055539171796
94,66.3399310404524
95,52.55075534949869
96,44.19870604012403
97,51.09789016802201
98,43.36766353566898
99,53.29322467817542
100,18.141700100750974
101,40.4863033075945
102,26.997294695143438
103,35.14829088632631
104,59.605772967032195
105,42.625722196367036
106,23.24436505403467
107,33.57141504392022
108,43.769443813172856
109,55.4398649825861
110,38.497877970095715
111,63.40327262879046
112,44.900425909788176
113,24.41536037508832
114,59.13262439026975
115,48.739225814074295
116,36.75502910577261
117,26.673891873608703
118,43.945851844314454
119,57.70315180508027
120,56.470668439381576
121,37.294110735086036
122,63.959967114440836
123,32.11936562617362
124,61.12933971805346
125,54.115135644139954
126,49.04165429576628
127,35.871095158292356
128,28.272971293819158
129,78.60994592274471
130,51.027314232084706
131,55.56851697244902
132,45.49809057951612
133,36.672188608621354
134,47.462712660525575
135,36.809389785503164
136,28.221830230544594
137,44.66340634293098
138,51.44699358613029
139,56.30778843168659
140,64.4212767116179
141,42.99744250997642
142,13.037921616959935
143,43.598631339117595
144,63.887417115507574
145,39.40331178164445
146,57.55553601681026
147,36.77878666927015
148,40.39849336118535
0,61.949363824706204
1,63.71944199743156
2,60.01058070795182
3,62.676814835297094
4,69.62709624644218
5,67.5454427929321
6,64.29386508533743
7,69.28998191209944
8,64.70671391029205
9,63.087278582737596
10,65.172010673849
11,67.13243141837717
12,64.72980722113083
13,63.87498321725377
14,69.90255361942087
15,69.3062236518482
16,60.81081924363026
17,70.7209377214407
18,69.06597340741838
19,67.0677722642493
20,62.73091143782589
21,63.368119583935446
22,67.80250214987794
23,65.82623659458845
24,64.22046621632022
25,65.40134817178553
26,64.13857671579245
27,72.57405864081922
28,68.42770756855951
29,70.72719657962324
30,78.26784772832289
31,67.29909166026202
32,66.19251434991344
33,74.17786339020249
34,66.2545350079698
35,62.37264261955338
0,43.631959642577726
1,52.27564579868776
2,50.26003472245259
3,53.58169604731217
4,50.8136868781074
5,50.163384096927714
6,54.508305018333324
7,56.213092344158014
8,53.879213925553834
9,50.701164790204814
10,50.00211286306814
11,45.53282888819801
12,45.27005294821122
13,44.78759504969393
14,51.0752187642885
15,47.99015093337308
16,52.473304913352145
17,52.65587089806732
18,38.61755741316454
19,62.94169573313856
20,55.95860546080476
21,54.85779949324477
22,49.753264051296874
23,46.91294851059248
24,37.31601653019655
25,50.56435226563379
26,48.64003668533741
27,51.042136955564736
28,49.09473435868377
29,51.611867479895444
30,52.50696879711095
31,59.75805554818633
32,60.04916677813987
33,54.36833406589316
34,45.68456350333837
35,51.3638400427473
36,50.02194049942222
37,55.346290910932005
38,55.63340127493272
39,55.87623008272689
40,45.63442004831373
41,50.03678639702322
42,58.60504720672456
43,48.902475258968344
44,56.24080834731348
45,55.05990114590183
46,54.273074039290584
47,52.02173881059764
48,54.417582693593374
49,48.70516339045253
50,52.8846550363363
51,52.003016640238606
52,49.73539311987945
53,47.02551687155437
54,52.82857685112836
55,45.845179215820785
56,54.36859272764424
57,47.09469022918182
58,54.216893789218716
59,49.59846040885012
60,50.19084882968787
61,55.841022978234804
62,55.65512834699809
63,64.84633679243264
64,46.908969637100675
65,49.49452067253233
66,49.15173901297408
67,55.72875177533753
68,47.79584418204926
69,43.181776402100134
70,49.546286720302184
71,52.34027126694484
72,51.27884664691099
73,52.736777243714734
74,52.9421766806802
75,61.41282234120909
76,52.50601783397336
77,50.74685070594645
78,40.95125514089196
79,58.748430895304594
80,55.99774603816365
81,48.133644374496086
82,54.255400357967254
83,46.89015687982096
84,46.19346811457025
85,40.95699050926613
86,47.58188779922207
87,45.347931713836026
88,50.55577637935798
89,45.327884019538416
90,55.27586822334051
91,52.29183115338469
92,50.9431849263468
93,49.48648914907069
94,44.29172688487833
95,54.74608726580226
96,41.29533773658953
97,47.69255368098124
98,46.80601179526721
99,44.262377858952696
100,58.38585654074911
101,56.051889867389995
0,54.3159844046734
1,49.15721451207109
2,45.77182665626107
3,52.016230287849304
4,60.21248211994453
5,63.47617880388654
6,43.22624291227028
7,66.82309056948519
8,63.420033968509685
9,52.90707308632496
10,47.81887056445923
11,48.75605813422355
12,50.96408651524417
13,44.11416139853636
14,54.502175014717935
15,60.63656040575718
16,58.345858062455235
17,54.37600503026975
18,50.955954008603264
19,53.66949408651871
0,58.35750243000704
1,54.92956599834882
2,57.450791440033264
3,71.81192890274514
4,65.02388910727555
5,50.534768587871184
6,45.37001338044341
7,67.5867079255078
8,85.16812965472481
9,68.06261656423202
10,54.15152749305318
11,51.51249226484649
12,71.58151147537956
13,55.421359433187334
14,72.2504963139162
15,52.49021580145229
16,61.85576533320873
17,66.62886195476875
18,68.62482922169772
19,63.482945744247395
20,46.46001707018854
21,55.82417170435414
22,74.80795830113074
23,63.39888609047557
24,57.86656657547771
25,66.22166622387779
26,54.87614061764471
27,57.69769339996172
28,69.84306058891376
29,66.74619068234364
30,68.03598457487531
31,81.45254154581798
0,50.772257426670485
1,50.15592856670222
2,40.701752338881946
3,52.820348788297316
4,56.34681553057182
5,47.78599075136505
6,47.303774959002254
7,50.80330440785172
8,55.37326296664307
9,50.010220357062515
10,45.11973132468493
11,54.94008866467081
12,48.91184149442558
0,43.66809013015479
1,49.36632898229824
2,48.23427044505231
3,53.85095015459001
4,50.121464233324325
5,44.7302880154651
6,48.28499601069783
7,46.385840889207785
8,47.24705474394518
9,54.87761702012032
10,48.799273874146586
11,51.1669900339223
12,49.2729762808327
13,52.75222461383838
14,59.413684898080675
15,48.34646635616265
16,45.818257239899786
17,47.37590156780336
18,46.82660458671811
19,46.84335545015657
20,51.62186063133217
21,52.662088532953476
22,50.04403133383189
23,46.627438030937924
24,52.664076530557146
25,51.70132257087559
26,50.11240618104434
27,48.647371079983216
0,27.360048986465507
1,66.30858134718444
2,49.524404841232034
3,39.01434079912839
4,64.97411825987113
5,59.7629161136136
6,38.09447957548794
7,41.15949122836473
8,54.41039082304612
9,37.709997895166005
10,27.099391074954564
11,49.52499438907756
12,40.17290298192051
13,76.99780855798055
14,18.2372269105722
15,62.194216980878544
16,68.15148935849385
17,36.62202416328154
18,52.26119515085108
19,35.778349620294804
20,84.00219828749039
21,26.303036674770475
22,61.75082505016327
23,60.00229183320563
24,32.033902649045174
25,18.560165596045483
26,45.0501098139794
27,44.67782191545328
28,15.61227516798808
29,55.40840296604136
30,64.33915789039582
31,66.91045576485902
32,35.9405414528708
33,72.00953260977082
34,69.62670803551356
35,43.390717442544116
36,35.59201934859489
37,23.87807992014378
38,67.68034888726403
39,44.58038846122252
40,53.4580657325038
41,63.20864014474127
42,41.20601640462641
43,29.92454494689134
44,55.8225200942789
45,53.695672880858034
46,42.003192394920475
47,67.6521741133988
48,30.247924298644453
49,45.98227178879722
50,48.27071995623236
51,62.64087769977928
0,34.53892370527878
1,35.35532600248429
2,39.24565640780444
3,39.962483006465966
4,52.05364977103
5,31.554351298901853
6,30.115567918501867
7,34.48146211291051
8,59.6665893855057
9,50.38860692239076
10,47.7163578437446
11,23.753256772226695
12,55.61501162844269
13,19.802035099032324
14,53.405815059921366
15,38.28489872240992
16,39.660044013452485
17,31.354203002917664
18,42.276132910257836
19,29.271363918714997
20,40.831090104364314
